epoch,loss,lr
0,1.306785313972468,1e-05
1,1.3085743899143376,1e-05
2,1.3078062270981559,1e-05
3,1.3013024396277468,1e-05
4,1.309243241491619,1e-05
5,1.3075570821681917,1e-05
6,1.2979048238797883,1e-05
7,1.3006597374939806,1e-05
8,1.3142731740078673,1e-05
9,1.2968628713165904,1e-05
10,1.307603495066488,1e-05
0,1.3092580183929619,1e-05
1,1.3111861025477385,1e-05
2,1.2994806079473284,1e-05
3,1.3079944952831384,1e-05
4,1.3170580672351964,1e-05
5,1.3018178959059572,1e-05
6,1.3119479938489764,1e-05
7,1.301326400374276,1e-05
