epoch,loss,lr,val_loss
0,2.271427551237475,1e-04,2.1301575219631195
0,2.0254838294341786,1e-04,1.904835479259491
1,1.8731680369176784,1e-04,1.8012834668159485
2,1.7662562125871162,1e-04,1.7168534402052562
3,1.706370766222978,1e-04,1.6752619290351867
4,1.6788424363657206,1e-04,1.6526421813170116
5,1.6364999388446326,1e-04,1.6628062836329143
6,1.6025362711994589,1e-04,1.5954700410366058
7,1.5921996038501003,1e-04,1.5929792710145314
8,1.5738517915501313,1e-04,1.571849733988444
9,1.5473238347959117,1e-04,1.543867403268814
10,1.5367779074596757,1e-04,1.5405746368567148
11,1.5262865324982073,1e-04,1.6627552926540374
12,1.5221154836045594,1e-04,1.550326315164566
13,1.5052046962144996,1e-04,1.5539544661839804
14,1.4873217289187328,1e-04,1.5261871373653413
15,1.495785547304554,1e-04,1.5158104316393535
16,1.4827111566767972,1e-04,1.5038948492209117
17,1.4674281381759322,1e-04,1.5000037451585133
18,1.4742495418596668,1e-04,1.5168225534756978
19,1.4657313395948972,1e-04,1.4945953321456908
